Last login: Thu Jul 14 14:48:48 on ttys004
hexa-l-musique:~ normandeau$ sudo tcpdump -i lo0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on lo0, link-type NULL (BSD loopback), capture size 65535 bytes
14:58:46.749154 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.775133 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.775157 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.800379 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.800404 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.826617 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.826700 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.852147 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.852170 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.878136 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.878159 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.903293 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.903317 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.928641 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.928671 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.954500 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.954537 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.980146 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.980169 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.006196 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.006262 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.031503 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.031526 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.057109 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.057146 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.083080 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.083115 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.108376 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.108398 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.133647 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.133672 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.262080 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.262104 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.314554 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.314605 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.346306 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.346344 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.378388 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.378412 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.404164 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.404186 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.430174 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.430196 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.456027 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.456053 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.482159 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.482182 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.507392 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.507415 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.533165 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.533188 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.558459 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.558507 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.584173 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.584199 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.609395 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.609418 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.634654 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.634678 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.659819 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.659843 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.685430 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.685458 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.711207 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.711230 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.736475 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.736502 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:47.764797 IP localhost.57272 > localhost.18032: UDP, length 40
